date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:45	19020/19020	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa79-4a4c-4c7abea6a1b40%22	http://www.memobio.fr/html/immu/im_au_ifi.html	www.memobio.fr/im_au_ifi.html	(from http://www.memobio.fr/html/immu/im_auto.html)
09:24:45	19087/19087	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa7b-4a8f-4c7abea6a1b40%22	http://www.memobio.fr/html/immu/im_au_far.html	www.memobio.fr/im_au_far.html	(from http://www.memobio.fr/html/immu/im_auto.html)
09:24:45	18765/18765	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa84-494d-4c7abea889fc0%22	http://www.memobio.fr/html/immu/im_el_no.html	www.memobio.fr/im_el_no.html	(from http://www.memobio.fr/html/immu/im_elec.html)
09:24:45	24872/24872	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa82-6128-4c7abea97e200%22	http://www.memobio.fr/html/immu/im_el_pr.html	www.memobio.fr/im_el_pr.html	(from http://www.memobio.fr/html/immu/im_elec.html)
09:24:46	23245/23245	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa83-5acd-4c7abea97e200%22	http://www.memobio.fr/html/immu/im_el_pa.html	www.memobio.fr/im_el_pa.html	(from http://www.memobio.fr/html/immu/im_elec.html)
09:24:46	18883/18883	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa87-49c3-4c7abea889fc0%22	http://www.memobio.fr/html/immu/im_el_bis.html	www.memobio.fr/im_el_bis.html	(from http://www.memobio.fr/html/immu/im_elec.html)
09:24:46	22605/22605	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa6f-584d-4c7abea97e200%22	http://www.memobio.fr/html/immu/im_el_sne.html	www.memobio.fr/im_el_sne.html	(from http://www.memobio.fr/html/immu/im_elec.html)
09:24:46	19278/19278	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa86-4b4e-4c7abea889fc0%22	http://www.memobio.fr/html/immu/im_el_cde.html	www.memobio.fr/im_el_cde.html	(from http://www.memobio.fr/html/immu/im_elec.html)
09:24:46	18109/18109	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa73-46bd-4c7abea889fc0%22	http://www.memobio.fr/html/immu/im_el_inf.html	www.memobio.fr/im_el_inf.html	(from http://www.memobio.fr/html/immu/im_elec.html)
09:24:46	20820/20820	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa85-5154-4c7abea889fc0%22	http://www.memobio.fr/html/immu/im_el_gmo.html	www.memobio.fr/im_el_gmo.html	(from http://www.memobio.fr/html/immu/im_elec.html)
09:24:46	19554/19554	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa6e-4c62-4c7abeaa72440%22	http://www.memobio.fr/html/immu/im_in_vsf.html	www.memobio.fr/im_in_vsf.html	(from http://www.memobio.fr/html/immu/im_infl.html)
09:24:46	19767/19767	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa71-4d37-4c7abeaa72440%22	http://www.memobio.fr/html/immu/im_in_vsp.html	www.memobio.fr/im_in_vsp.html	(from http://www.memobio.fr/html/immu/im_infl.html)
09:24:46	18622/18622	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa76-48be-4c7abeaa72440%22	http://www.memobio.fr/html/immu/im_in_vsi.html	www.memobio.fr/im_in_vsi.html	(from http://www.memobio.fr/html/immu/im_infl.html)
09:24:46	18285/18285	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa7a-476d-4c7abeaa72440%22	http://www.memobio.fr/html/immu/im_in_pip.html	www.memobio.fr/im_in_pip.html	(from http://www.memobio.fr/html/immu/im_infl.html)
